,NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO,OTHER_I3TYPES,AREA
0,IC110514A,118178,17334444,2011-05-14 01:32:22.654109,55695.06415108922,gfu-gold,138.47,-1.94,6.68,3.78,0.97,1.12,187.0,1.3,0.508,3.46e-07,4.48e-07,0.0811,4.65e-05,0.919,False,,21.848834719412643
1,IC110610A,118309,46569873,2011-06-10 10:13:33.147086,55722.42607809128,gfu-gold,272.55,35.64,1.67,2.42,1.3,1.05,294.0,0.25,0.75,3.37e-10,3.99e-11,1.2e-06,0.000129,1.0,False,gfu-bronze,7.8106466857056995
3,IC110714A,118435,58198553,2011-07-14 02:42:41.855488,55756.11298443852,hese-gold,68.2,40.67,0.31,1.1,0.44,0.44,72.0,0.11,0.778,4.33e-05,1.1e-05,0.876,1.81e-05,0.124,False,hese-bronze,0.9411065251656237
7,IC110902A,118631,36844560,2011-09-02 02:12:46.331046,55806.09220290563,gfu-gold,9.76,7.59,2.86,1.32,0.87,0.86,243.0,0.74,0.609,2.21e-07,2.81e-07,0.00121,1.02e-05,0.999,False,gfu-bronze,7.1680151244561
8,IC110907A,118660,61529737,2011-09-07 19:04:14.783520,55811.79461555,gfu-gold,196.08,9.4,3.91,2.68,1.55,1.06,186.0,1.15,0.506,6.13e-06,3.6e-09,1.0,9.419999999999991e-09,0.000146,False,gfu-bronze,16.968692696676367
9,IC110929A,118738,995844,2011-09-29 06:15:04.217922,55833.26046548522,gfu-bronze,121.45,50.04,1.34,1.29,0.24,0.15,158.0,0.27,0.521,1.31e-06,9.41e-12,1.0,2.02e-10,1.45e-08,False,,0.658724565948655
17,IC111216A,119136,66932419,2011-12-16 06:38:39.885890,55911.27685053114,gfu-gold,36.74,18.88,1.8,2.24,2.46,2.82,891.0,0.15,0.946,3.14e-12,9.74e-09,9.09999999999999e-06,1.61e-06,1.0,False,gfu-bronze,20.18310866096082
19,IC120301A,119739,41603205,2012-03-01 19:21:57.308024,55987.80691328732,gfu-gold,237.96,18.76,0.53,0.62,0.47,0.51,433.0,0.56,0.825,2.79e-06,7.35e-08,0.975,6.81e-07,0.0247,False,"ehe-gold,gfu-bronze",1.0671251602478578
22,IC120515A,120157,59255331,2012-05-15 23:00:59.271299,56062.95901934374,gfu-gold,198.94,32.0,1.71,1.41,0.97,1.09,194.0,0.63,0.613,5e-05,3.36e-11,1.0,7.2e-13,1.89e-10,False,gfu-bronze,5.450385575292647
23,IC120523A,120185,63879322,2012-05-23 13:46:57.999757,56070.5742824046,ehe-gold,171.08,26.44,0.66,1.41,0.46,0.37,213.0,1.44,0.525,4.58e-10,4.54e-06,1.54e-05,1.44e-07,1.0,False,gfu-bronze,1.538372089053645
